P10R SMD (красный) (320 x 160) QIANGLI;320;160;300;mono
P10W (белый) (320 x 160) MEIYAD;320;160;350;mono
P10Y (жёлтый) (320 x 160) MEIYAD;320;160;370;mono
P10G (зелёный) (320 x 160) MEIYAD;320;160;400;mono
P10B (синий) (320 x 160) MEIYAD;320;160;510;mono
